Codes,State
1,Alabama
31,Nebraska
2,Alaska
32,Nevada
4,Arizona
33,New Hampshire
5,Arkansas
34,New Jersey
6,California
35,New Mexico
8,Colorado
36,New York
9,Connecticut
37,North Carolina
10,Delaware
38,North Dakota
11,District of Columbia
39,Ohio
12,Florida
40,Oklahoma
13,Georgia
41,Oregon
15,Hawaii
42,Pennsylvania
16,Idaho
43,Puerto Rico
17,Illinois
44,Rhode Island
18,Indiana
45,South Carolina
19,Iowa
46,South Dakota
20,Kansas
47,Tennessee
21,Kentucky
48,Texas
22,Louisiana
49,Utah
23,Maine
50,Vermont
24,Maryland
52,Virgin Islands
25,Massachusetts
51,Virginia
26,Michigan
53,Washington
27,Minnesota
54,West Virginia
28,Mississippi
55,Wisconsin
29,Missouri
56,Wyoming
30,Montana